task_id,neighborhood,offset_count,exception_count,model_description_bits,wrapper_description_bits,total_description_bits,binary4_gate_upper_bound,onehot_gate_upper_bound,binary4_state_bits_per_cell,onehot_state_bits_per_cell,onehot_boundary_input_states,test_cells,binary4_dynamic_gate_upper_bound,onehot_dynamic_gate_upper_bound,compiled_checked,compiled_equivalent,binary4_invalid_rate,onehot_invalid_rate,direct_median_seconds,direct_p95_seconds,binary4_median_seconds,binary4_p95_seconds,onehot_median_seconds,onehot_p95_seconds,compile_skip_reason,dataset,split
beb8660c,von_neumann_r2,13,48,2789,8,2797,5024,2064,4,10,11,88,442112,181632,1.0,1.0,0.0,0.0,0.00022388400975614786,0.00023763300850987434,0.0017108580796048045,0.0017163869924843311,0.0016171300085261464,0.0016431560507044196,,ARC-AGI-1,training
c0f76784,von_neumann_r2,13,21,1276,8,1284,2182,903,4,10,11,144,314208,130032,1.0,1.0,0.0,0.0,0.000344360014423728,0.00035181897692382336,0.0008402389939874411,0.0009112999541684985,0.0008054659701883793,0.0008231910178437829,,ARC-AGI-1,training
c1d99e64,von_neumann_r2,13,93,5310,8,5318,9976,3999,4,10,11,675,6733800,2699325,1.0,1.0,0.0,0.0,0.0015239990316331387,0.0015292390016838908,0.005334187997505069,0.005562506034038961,0.004747799946926534,0.004789775004610419,,ARC-AGI-1,training
c3f564a4,von_neumann_r2,13,113,6430,8,6438,12173,4859,4,10,11,256,3116288,1243904,1.0,1.0,0.0,0.0,0.0005896579241380095,0.0005991419311612844,0.004577522980980575,0.004620078019797802,0.004190476960502565,0.004210014012642205,,ARC-AGI-1,training
c8f0f002,center,1,1,24,8,32,17,31,4,10,11,15,255,465,1.0,1.0,0.0,0.0,3.958400338888168e-05,4.860397893935442e-05,9.125599171966314e-05,0.00010988395661115646,7.908197585493326e-05,8.87010246515274e-05,,ARC-AGI-1,training
ce22a75a,moore_r1,9,21,916,8,924,1642,819,4,10,11,81,133002,66339,1.0,1.0,0.0,0.0,0.00018538301810622215,0.000209319987334311,0.0007981660310178995,0.0008289220277220011,0.0006518580485135317,0.000671523972414434,,ARC-AGI-1,training
d037b0a7,moore_r1,9,10,475,8,483,746,390,4,10,11,9,6714,3510,1.0,1.0,0.0,0.0,4.43729804828763e-05,5.42360357940197e-05,0.0003647339763119817,0.00038327707443386316,0.0003273140173405409,0.0003329699393361807,,ARC-AGI-1,training
d23f8c26,center_wire_+1_-1,2,11,161,8,169,272,352,4,10,11,49,13328,17248,1.0,1.0,0.0,0.0,0.0001846869708970189,0.00019904295913875103,0.0008542949799448252,0.0010137050412595272,0.000264802947640419,0.00028790708165615797,,ARC-AGI-1,training
d2abd087,moore_r2,25,79,8391,8,8399,15064,4345,4,10,11,100,1506400,434500,1.0,1.0,0.0,0.0,0.0003277489449828863,0.00033988291397690773,0.0028387720230966806,0.002873881021514535,0.0037847229978069663,0.003811058006249368,,ARC-AGI-1,training
d364b489,von_neumann_r1,5,15,409,8,417,741,525,4,10,11,100,74100,52500,1.0,1.0,0.0,0.0,0.00018450000789016485,0.00019543594680726528,0.0005739399930462241,0.0006013630190864205,0.0004201220581308007,0.00042959500569850206,,ARC-AGI-1,training
