task_id,selection_status,candidates_evaluated,exact_training_candidates,selection_seconds,program,program_kind,description_bits,wrapper_description_bits,total_description_bits,onehot_gates_per_cell_upper,outcome,labeled_pairs,pair_exact_count,pair_exact_rate,task_exact,matching_shape_pairs,cell_accuracy,scored_cells,mean_steps,max_steps,stop_reasons,dynamic_gate_upper_bound,local_dynamic_gate_upper_bound,fixed_point_detection_gate_upper_bound,median_seconds,p95_seconds,dataset,dataset_commit,split,task_index
25d8a9c8,no_exact_program,49,0,0.0006972450064495206,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,52
25ff71a9,selected,49,1,0.0007546930573880672,copy_offset:-1:0:0,copy_offset,22.0,8.0,30.0,0.0,solved,2,2,1.0,1.0,2,1.0,18,1.0,1.0,one_step;one_step,0.0,0.0,0.0,2.2321008145809174e-05,2.8921058401465416e-05,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,53
264363fd,no_exact_program,49,0,0.0010432290146127343,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,54
272f95fa,no_exact_program,49,0,0.0007980960654094815,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,55
27a28665,unsupported_shape_change,0,0,1.2849923223257065e-06,,,,,,,abstained,3,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,56
28bf18c6,unsupported_shape_change,0,0,1.1440133675932884e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,57
28e73c20,no_exact_program,61,0,0.0027043409645557404,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,58
29623171,no_exact_program,49,0,0.0007362050237134099,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,59
29c11459,no_exact_program,49,0,0.0006947030778974295,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,60
29ec7d0e,no_exact_program,49,0,0.0008560919668525457,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,61
