scope,train_fraction,seed,width,layers,queries,method,accuracy,balanced_accuracy,positive_accuracy,negative_accuracy,median_query_ms,iqr_query_ms
learned_gate_bfs,0.5,8,16,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.02475,0.004399999999999998
learned_gate_bfs,0.5,8,16,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0212,0.0008250000000000028
learned_gate_bfs,0.5,8,16,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.04505,0.0067000000000000046
learned_gate_bfs,0.5,8,16,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0402,0.0008249999999999924
learned_gate_bfs,0.5,8,16,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0708,0.013124999999999998
learned_gate_bfs,0.5,8,16,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0636,0.0016000000000000042
learned_gate_bfs,0.5,8,32,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.030400000000000003,0.0127
learned_gate_bfs,0.5,8,32,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0236,0.0013999999999999985
learned_gate_bfs,0.5,8,32,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.051250000000000004,0.015825000000000006
learned_gate_bfs,0.5,8,32,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.04445,0.0016250000000000014
learned_gate_bfs,0.5,8,32,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0776,0.024550000000000002
learned_gate_bfs,0.5,8,32,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0654,0.002024999999999999
learned_gate_bfs,0.5,9,8,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.02395,0.004
learned_gate_bfs,0.5,9,8,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0217,0.0007000000000000027
learned_gate_bfs,0.5,9,8,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.04525,0.004899999999999995
learned_gate_bfs,0.5,9,8,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.041749999999999995,0.0010000000000000009
learned_gate_bfs,0.5,9,8,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.06534999999999999,0.005500000000000005
learned_gate_bfs,0.5,9,8,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0622,0.0017250000000000043
learned_gate_bfs,0.5,9,16,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0333,0.019100000000000006
learned_gate_bfs,0.5,9,16,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.02695,0.015625
learned_gate_bfs,0.5,9,16,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.04735,0.007350000000000002
learned_gate_bfs,0.5,9,16,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0424,0.0014249999999999957
learned_gate_bfs,0.5,9,16,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0733,0.015024999999999997
learned_gate_bfs,0.5,9,16,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.064,0.001799999999999996
learned_gate_bfs,0.5,9,32,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.03535,0.017149999999999995
learned_gate_bfs,0.5,9,32,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0238,0.001400000000000002
learned_gate_bfs,0.5,9,32,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.058300000000000005,0.025599999999999998
learned_gate_bfs,0.5,9,32,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0451,0.002224999999999998
learned_gate_bfs,0.5,9,32,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.078,0.026024999999999993
learned_gate_bfs,0.5,9,32,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0654,0.002125000000000002
learned_gate_bfs,0.75,0,8,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.024050000000000002,0.00435
learned_gate_bfs,0.75,0,8,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0212,0.0011999999999999997
learned_gate_bfs,0.75,0,8,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.04285,0.004225
learned_gate_bfs,0.75,0,8,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0396,0.0007249999999999965
learned_gate_bfs,0.75,0,8,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.06295,0.005400000000000002
learned_gate_bfs,0.75,0,8,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.059,0.0015249999999999986
learned_gate_bfs,0.75,0,16,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.02495,0.005000000000000001
learned_gate_bfs,0.75,0,16,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0213,0.0009000000000000015
learned_gate_bfs,0.75,0,16,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.045899999999999996,0.007300000000000001
learned_gate_bfs,0.75,0,16,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.04,0.0009249999999999953
learned_gate_bfs,0.75,0,16,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.07155,0.012249999999999997
learned_gate_bfs,0.75,0,16,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0636,0.0013999999999999985
learned_gate_bfs,0.75,0,32,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0327,0.012199999999999996
learned_gate_bfs,0.75,0,32,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.02355,0.001299999999999999
learned_gate_bfs,0.75,0,32,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.055499999999999994,0.017075
learned_gate_bfs,0.75,0,32,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0447,0.0016000000000000042
learned_gate_bfs,0.75,0,32,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.07935,0.023624999999999993
learned_gate_bfs,0.75,0,32,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.06545000000000001,0.001899999999999999
learned_gate_bfs,0.75,1,8,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.024149999999999998,0.004400000000000001
learned_gate_bfs,0.75,1,8,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0211,0.0011000000000000003
learned_gate_bfs,0.75,1,8,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.04365,0.004825000000000003
learned_gate_bfs,0.75,1,8,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0401,0.0011999999999999997
learned_gate_bfs,0.75,1,8,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.063,0.005499999999999991
learned_gate_bfs,0.75,1,8,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.05895,0.001125000000000001
