family,train_fraction,seed,method,train_accuracy,iid_accuracy,ood_accuracy,ood_balanced_accuracy,ood_tpr,ood_tnr,ood_f1,ood_mcc,full_accuracy,full_balanced_accuracy,fit_seconds,gate_count,depth,expression
compositional,0.25,8,TruthMemorizer,1.0,0.5730337078651685,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.6484375,0.6186440677966102,0.0,,,
compositional,0.25,8,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.25,9,GateBeam,1.0,0.8820224719101124,0.6111111111111112,0.75,1.0,0.5,0.5333333333333333,0.4264014327112209,0.890625,0.8813559322033898,0.5633189999498427,7.0,3.0,(((x6 NAND x7) AND (x4 XOR x5)) OR ((x0 AND x1) OR (x2 AND x3)))
compositional,0.25,9,MLP,1.0,0.8033707865168539,0.6666666666666666,0.7857142857142857,1.0,0.5714285714285714,0.5714285714285714,0.47809144373375745,0.83984375,0.8391672807663965,0.20538049982860684,,,
compositional,0.25,9,TruthMemorizer,1.0,0.5842696629213483,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.65625,0.6271186440677966,0.0,,,
compositional,0.25,9,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.5,0,GateBeam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.737213599961251,11.0,4.0,((((x4 XOR x5) OR (x0 AND x1)) AND (x6 NAND x7)) OR (((x4 XOR x5) OR (x2 AND x3)) AND (x6 NAND x7)))
compositional,0.5,0,MLP,1.0,0.8739495798319328,0.6111111111111112,0.75,1.0,0.5,0.5333333333333333,0.4264014327112209,0.9140625,0.910464259395726,0.20901029999367893,,,
compositional,0.5,0,TruthMemorizer,1.0,0.5378151260504201,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.73046875,0.7076271186440678,0.0,,,
compositional,0.5,0,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.5,1,GateBeam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6868217999581248,11.0,4.0,((((x4 XOR x5) OR (x2 AND x3)) AND (x6 NAND x7)) OR ((x6 NAND x7) AND ((x4 XOR x5) OR (x0 AND x1))))
compositional,0.5,1,MLP,1.0,0.957983193277311,0.9444444444444444,0.9642857142857143,1.0,0.9285714285714286,0.8888888888888888,0.8618916073713346,0.9765625,0.9776467698354212,0.20089500001631677,,,
compositional,0.5,1,TruthMemorizer,1.0,0.5882352941176471,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.75390625,0.7330508474576272,0.0,,,
compositional,0.5,1,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.5,2,GateBeam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8077236998360604,11.0,4.0,(((x6 NAND x7) AND ((x4 XOR x5) OR (x0 AND x1))) OR ((x6 NAND x7) AND ((x4 XOR x5) OR (x2 AND x3))))
compositional,0.5,2,MLP,1.0,0.865546218487395,0.8333333333333334,0.8928571428571428,1.0,0.7857142857142857,0.7272727272727273,0.6700593942604899,0.92578125,0.9231761238025056,0.19929699995554984,,,
compositional,0.5,2,TruthMemorizer,1.0,0.5630252100840336,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.7421875,0.7203389830508474,0.0,,,
compositional,0.5,2,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.5,3,GateBeam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.773092299932614,11.0,4.0,(((x6 NAND x7) AND ((x4 XOR x5) OR (x2 AND x3))) OR ((x6 NAND x7) AND ((x4 XOR x5) OR (x0 AND x1))))
compositional,0.5,3,MLP,1.0,0.865546218487395,0.7777777777777778,0.8571428571428572,1.0,0.7142857142857143,0.6666666666666666,0.5976143046671968,0.921875,0.9195529353967085,0.19172980007715523,,,
compositional,0.5,3,TruthMemorizer,1.0,0.5462184873949579,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.734375,0.711864406779661,0.0,,,
compositional,0.5,3,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.5,4,GateBeam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7856848000083119,11.0,4.0,(((x6 NAND x7) AND ((x4 XOR x5) OR (x2 AND x3))) OR ((x6 NAND x7) AND ((x4 XOR x5) OR (x0 AND x1))))
compositional,0.5,4,MLP,1.0,0.8487394957983193,0.7222222222222222,0.8214285714285714,1.0,0.6428571428571429,0.6153846153846154,0.5345224838248488,0.91015625,0.9105256693687055,0.21563369990326464,,,
compositional,0.5,4,TruthMemorizer,1.0,0.6218487394957983,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.76953125,0.75,0.0,,,
compositional,0.5,4,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.5,5,GateBeam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8211084001231939,11.0,4.0,(((x6 NAND x7) AND ((x4 XOR x5) OR (x0 AND x1))) OR ((x6 NAND x7) AND ((x4 XOR x5) OR (x2 AND x3))))
compositional,0.5,5,MLP,1.0,0.8991596638655462,0.7222222222222222,0.7321428571428572,0.75,0.7142857142857143,0.5454545454545454,0.3959441875175622,0.93359375,0.9310366003438959,0.20100770005956292,,,
compositional,0.5,5,TruthMemorizer,1.0,0.5378151260504201,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.73046875,0.7076271186440678,0.0,,,
compositional,0.5,5,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.5,6,GateBeam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7402898001018912,11.0,4.0,((((x4 XOR x5) OR (x0 AND x1)) AND (x6 NAND x7)) OR ((x6 NAND x7) AND ((x4 XOR x5) OR (x2 AND x3))))
compositional,0.5,6,MLP,1.0,0.9243697478991597,0.8888888888888888,0.9285714285714286,1.0,0.8571428571428571,0.8,0.7559289460184544,0.95703125,0.955232129697863,0.19344639987684786,,,
compositional,0.5,6,TruthMemorizer,1.0,0.5714285714285714,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.74609375,0.7245762711864407,0.0,,,
compositional,0.5,6,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.5,7,GateBeam,0.9663865546218487,0.9327731092436975,1.0,1.0,1.0,1.0,1.0,1.0,0.953125,0.9491525423728814,0.69727039989084,15.0,4.0,((((x6 NAND x7) AND (x4 XOR x5)) OR ((x6 NAND x7) AND (x0 OR x3))) AND (((x6 NAND x7) AND (x4 XOR x5)) OR ((x6 NAND x7) AND (x1 OR x2))))
compositional,0.5,7,MLP,1.0,0.8991596638655462,0.8333333333333334,0.8928571428571428,1.0,0.7857142857142857,0.7272727272727273,0.6700593942604899,0.94140625,0.9376688774256939,0.27448590006679296,,,
compositional,0.5,7,TruthMemorizer,1.0,0.5630252100840336,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.7421875,0.7203389830508474,0.0,,,
compositional,0.5,7,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.5,8,GateBeam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0005479999817908,11.0,4.0,((((x4 XOR x5) OR (x2 AND x3)) AND (x6 NAND x7)) OR ((x6 NAND x7) AND ((x4 XOR x5) OR (x0 AND x1))))
compositional,0.5,8,MLP,1.0,0.9159663865546218,0.7777777777777778,0.7678571428571428,0.75,0.7857142857142857,0.6,0.472455591261534,0.9453125,0.94620486366986,0.1953779999166727,,,
compositional,0.5,8,TruthMemorizer,1.0,0.6134453781512605,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.765625,0.7457627118644068,0.0,,,
compositional,0.5,8,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
