run,suite,cohort,source_commit,task_id,variant,seed,status,deployment_eligible,strict_hard_task_exact,selected_by_demo,hard_demo_task_exact,hard_demo_cell_accuracy,hard_task_exact,hard_cell_accuracy,soft_task_exact,hardening_task_drop,selected_horizon,state_bits_per_cell,parameter_count,parameter_storage_bits,hard_fixed_width_circuit_bits,active_non_passthrough_gates,hard_gates_per_cell_step,test_dynamic_gate_evaluations,dense_macs_per_cell_step,test_dense_macs,test_state_bit_updates,hard_export_equivalent,elapsed_seconds
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,32e9702f,d4_sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.92,,,,,,,,,,,,,,,
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,32e9702f,d4_bgpad_sparse,-1,no_deterministic_local_rule,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,32e9702f,dl1,0,trained,0.0,0.0,1.0,0.0,0.9508196721311475,0.0,0.84,0.0,0.0,1,4,2624,83968,2704,19,164,16400,,,400,1.0,6.199640728998929
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,32e9702f,dl1_wide,2,trained,0.0,0.0,1.0,0.0,0.9344262295081968,0.0,0.84,0.0,0.0,1,4,7744,247808,8376,47,484,48400,,,400,1.0,6.654498590040021
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,32e9702f,dlc1,2,trained,0.0,0.0,1.0,0.0,0.9344262295081968,0.0,0.84,0.0,0.0,1,4,7744,247808,8888,49,484,48400,,,400,1.0,6.772032044013031
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,32e9702f,dlr,1,trained,0.0,0.0,1.0,0.0,0.8442622950819673,0.0,0.84,0.0,0.0,1,12,4160,133120,4472,86,260,26000,,,1200,1.0,14.818637604010291
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,3aa6fb7a,sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.9591836734693877,,,,,,,,,,,,,,,
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,3aa6fb7a,d4_sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.9795918367346939,,,,,,,,,,,,,,,
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,3aa6fb7a,d4_bgpad_sparse,-1,selected,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,3aa6fb7a,dl1,1,trained,0.0,0.0,1.0,0.0,0.9489795918367347,0.0,0.9183673469387755,0.0,0.0,1,4,2624,83968,2704,2,164,8036,,,196,1.0,5.736530299065635
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,3aa6fb7a,dl1_wide,1,trained,0.0,0.0,1.0,0.0,0.9489795918367347,0.0,0.9183673469387755,0.0,0.0,1,4,7744,247808,8376,30,484,23716,,,196,1.0,6.234081501024775
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,3aa6fb7a,dlc1,1,trained,0.0,0.0,1.0,0.0,0.9489795918367347,0.0,0.9183673469387755,0.0,0.0,1,4,7744,247808,8888,26,484,23716,,,196,1.0,6.314133230946027
